Code,Description,Abbreviation
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically Mediastinal tuberculosis Nasopharyngeal tuberculosis confirmed bacteriologically and Tuberculosis of: histologically • nose • sinus [any nasal]",PTB
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",PTB
A15–A16,• tuberculous (current disease),•T
A15–A19,tuberculosis,TB
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",PTB
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative Tuberculous: • bronchiectasis • fibrosis of lung bacteriologically and histologically • pneumonia • pneumothorax",TB
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done Conditions listed in A16.0, bacteriological and histological examination not done",TB
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation Tuberculosis of lung Tuberculous: NOS (without mention of • bronchiectasis bacteriological or histological • fibrosis of lung confirmation) • pneumonia • pneumothorax",TB
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation Tuberculosis of lymph nodes: • hilar NOS (without mention of • intrathoracic bacteriological or histological • mediastinal confirmation) • tracheobronchial",TB
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation Tuberculosis of: • bronchus NOS (without mention of • glottis bacteriological or histological • larynx confirmation) • trachea",TB
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation Tuberculosis of pleura NOS (without mention of Tuberculous: bacteriological or histological • empyema confirmation) • pleurisy",TB
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation Primary: • respiratory tuberculosis NOS • tuberculous complex,PTB
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation Mediastinal tuberculosis Nasopharyngeal tuberculosis NOS (without mention of Tuberculosis of: bacteriological or histological • nose confirmation) • sinus [any nasal]",PTB
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation Respiratory tuberculosis NOS Tuberculosis NOS",PTB
A17.0†,Tuberculous meningitis (G01*) Tuberculosis of meninges (cerebral)(spinal) Tuberculous leptomeningitis,TB
A17.1†,Meningeal tuberculoma (G07*) Tuberculoma of meninges,MTT
A17.8†,Other tuberculosis of nervous system Tuberculoma brain (G07*) of Tuberculosis spinal cord (G07*) Tuberculous: • abscess of brain (G07*) • meningoencephalitis (G05.0*) • myelitis (G05.0*) • polyneuropathy (G63.0*),TB
A17.9†,"Tuberculosis of nervous system, unspecified (G99.8*)",TB
A17†,Tuberculosis of nervous system,TB
A18,Tuberculosis of other organs,TB
A18.0†,Tuberculosis of bones and joints Tuberculosis of: • hip (M01.1*) • knee (M01.1*) • vertebral column (M49.0*) Tuberculous: • arthritis (M01.1*) • mastoiditis (H75.0*) • necrosis of bone (M90.0*) • osteitis (M90.0*) • osteomyelitis (M90.0*) • synovitis (M68.0*) • tenosynovitis (M68.0*),TB
A18.1†,Tuberculosis of genitourinary system Tuberculosis of: • bladder (N33.0*) • cervix (N74.0*) • kidney (N29.1*) • male genital organs (N51.-*) • ureter (N29.1*) Tuberculous female pelvic inflammatory disease (N74.1*),TB
A18.2,Tuberculous peripheral lymphadenopathy Tuberculous adenitis,TPL
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands Tuberculosis (of): • anus and rectum† (K93.0*) • intestine (large)(small)† (K93.0*) • retroperitoneal (lymph nodes) Tuberculous: • ascites • enteritis† (K93.0*) • peritonitis† (K67.3*)",TB
A18.4,"Tuberculosis of skin and subcutaneous tissue Erythema induratum, tuberculous Lupus: • exedens • vulgaris: – NOS – of eyelid† (H03.1*) Scrofuloderma",TB
A18.5,Tuberculosis of eye Tuberculous: • chorioretinitis† (H32.0*) • episcleritis† (H19.0*) • interstitial keratitis† (H19.2*) • iridocyclitis† (H22.0*) • keratoconjunctivitis (interstitial)(phlyctenular)† (H19.2*),TB
A18.6,Tuberculosis of ear Tuberculous otitis media† (H67.0*),TB
A18.7†,"Tuberculosis of adrenal glands (E35.1*) Addison disease, tuberculous",TB
A18.8,Tuberculosis of other specified organs Tuberculosis of: • endocardium† (I39.8*) • myocardium† (I41.0*) • oesophagus† (K23.0*) • pericardium† (I32.0*) • thyroid gland† (E35.0*) Tuberculous cerebral arteritis† (I68.1*),TB
A19,Miliary tuberculosis,TB
A19.0,Acute miliary tuberculosis of a single specified site,TB
A19.1,Acute miliary tuberculosis of multiple sites,TB
A19.2,"Acute miliary tuberculosis, unspecified",TB
A19.8,Other miliary tuberculosis,TB
A19.9,"Miliary tuberculosis, unspecified Certain zoonotic bacterial diseases (A20–A28)",TB
A20,Plague,PLAG
A20.0,Bubonic plague,BP
A20.1,Cellulocutaneous plague,CP
A20.2,Pneumonic plague,PP
A20.3,Plague meningitis,PM
A20.7,Septicaemic plague,SP
A20.8,Other forms of plague Abortive plague Asymptomatic plague Pestis minor,FPA
A20.9,"Plague, unspecified",PLAG NOS
A20–A28,Certain zoonotic bacterial diseases,CZB
A21,Tularaemia,TULA
A21.0,Ulceroglandular tularaemia,UT
A21.1,Oculoglandular tularaemia Ophthalmic tularaemia,OTO
A21.2,Pulmonary tularaemia,PT
A21.3,Gastrointestinal tularaemia Abdominal tularaemia,GTA
A21.7,Generalized tularaemia,GT
A21.8,Other forms of tularaemia,FT
A21.9,"Tularaemia, unspecified",TULA NOS
A22,Anthrax,ANTH
A22.0,Cutaneous anthrax Malignant: • carbuncle • pustule,CAM
A22.1,Pulmonary anthrax Inhalation anthrax Ragpicker’s disease Woolsorter’s disease,PAI
A22.2,Gastrointestinal anthrax,GA
A22.7,Anthrax sepsis,AS
A22.8,Other forms of anthrax Anthrax meningitis† (G01*),FAA
A22.9,"Anthrax, unspecified",ANTH NOS
A23,Brucellosis,BRUC
A23.0,Brucellosis due to Brucella melitensis,BBM
A23.1,Brucellosis due to Brucella abortus,BBA
A23.2,Brucellosis due to Brucella suis,BBS
A23.3,Brucellosis due to Brucella canis,BBC
A23.8,Other brucellosis,BRUC
A23.9,"Brucellosis, unspecified",BRUC NOS
A24,Glanders and melioidosis,GM
A24.0,Glanders Infection due to Pseudomonas mallei Infection due to Burkholderia mallei Malleus,GIP
A24.1,Acute and fulminating melioidosis Melioidosis: • pneumonia • sepsis,AFM
A24.2,Subacute and chronic melioidosis,SCM
A24.3,Other melioidosis,MELI
A24.4,"Melioidosis, unspecified Infection due to Pseudomonas pseudomallei NOS Infection due to Burkholderia pseudomallei NOS Whitmore’s disease",MIP NOS
A25,Rat-bite fevers,RF
A25.0,Spirillosis Sodoku,SS
A25.1,Streptobacillosis Epidemic arthritic erythema Haverhill fever Streptobacillary rat-bite fever,SEA
A25.9,"Rat-bite fever, unspecified",RF NOS
A26,Erysipeloid,ERYS
A26.0,Cutaneous erysipeloid Erythema migrans,CEE
A26.7,Erysipelothrix sepsis,ES
A26.8,Other forms of erysipeloid,FE
A26.9,"Erysipeloid, unspecified",ERYS NOS
A27,Leptospirosis,LEPT
A27.0,Leptospirosis icterohaemorrhagica Leptospirosis due to Leptospira interrogans serovar icterohaemorrhagiae,LIL
A27.8,Other forms of leptospirosis,FL
A27.9,"Leptospirosis, unspecified",LEPT NOS
A28,"Other zoonotic bacterial diseases, not elsewhere classified",ZBD
A28.0,Pasteurellosis,PAST
A28.1,Cat-scratch disease Cat-scratch fever,CDC
A28.2,Extraintestinal yersiniosis,EY
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",ZBD
A28.9,"Zoonotic bacterial disease, unspecified",ZBD NOS
A30,Leprosy [Hansen disease],LEPR
A30.0,Indeterminate leprosy I leprosy,ILI
A30.1,Tuberculoid leprosy TT leprosy,TLT
A30.2,Borderline tuberculoid leprosy BT leprosy,BTL
A30.3,Borderline leprosy BB leprosy,BLB
A30.4,Borderline lepromatous leprosy BL leprosy,BLL
A30.5,Lepromatous leprosy LL leprosy,LLL
A30.8,Other forms of leprosy,FL
A30.9,"Leprosy, unspecified",LEPR NOS
A30–A49,Other bacterial diseases,BD
A31,Infection due to other mycobacteria,IM
