Code,Description,Abbreviation
C84.0,Mycosis fungoides,MF
C84.1,Sézary disease,SD
C84.4,"Peripheral T-cell lymphoma, not elsewhere classified Lennert lymphoma Lymphoepithelioid lymphoma",PTL
C84.5,Other mature T/NK-cell lymphomas,MTL
C84.6,"Anaplastic large cell lymphoma, ALK-positive Anaplastic large cell lymphoma, CD30-positive",ALC
C84.7,"Anaplastic large cell lymphoma, ALK-negative",ALC
C84.8,"Cutaneous T-cell lymphoma, unspecified",CTL NOS
C84.9,"Mature T/NK-cell lymphoma, unspecified NK/T cell lymphoma NOS",MTL NOS
C85,Other and unspecified types of non-Hodgkin lymphoma,TNL NOS
C85.1,"B-cell lymphoma, unspecified",BL NOS
C85.2,Mediastinal (thymic) large B-cell lymphoma,MLB
C85.7,Other specified types of non-Hodgkin lymphoma,TNL
C85.9,"Non-Hodgkin lymphoma, unspecified Lymphoma NOS Malignant lymphoma NOS Non-Hodgkin lymphoma NOS",NLL NOS
C86,Other specified types of T/NK-cell lymphoma,TTL
C86.0,"Extranodal NK/T-cell lymphoma, nasal type",ENL
C86.1,Hepatosplenic T-cell lymphoma Alpha-beta and gamma-delta types,HTL
C86.2,Enteropathy-type (intestinal) T-cell lymphoma Enteropathy associated T-cell lymphoma,ETL
C86.3,Subcutaneous panniculitis-like T-cell lymphoma,SPT
C86.4,Blastic NK-cell lymphoma,BNL
C86.5,Angioimmunoblastic T-cell lymphoma Angioimmunoblastic lymphadenopathy with dysproteinaemia [AILD],ATL
C86.6,Primary cutaneous CD30-positive T-cell proliferations Lymphomatoid papulosis Primary cutaneous anaplastic large-cell lymphoma Primary cutaneous CD30-positive large T-cell lymphoma,PCC
C88,Malignant immunoproliferative diseases,MID
C88.0,Waldenström macroglobulinaemia Lymphoplasmacytic lymphoma with IgM-production Macroglobulinaemia (primary)(idiopathic),WML
C88.2,Other heavy chain disease Franklin disease Gamma heavy chain disease Mu (µ) heavy chain disease,HCD
C88.3,Immunoproliferative small intestinal disease Alpha heavy chain disease Mediterranean lymphoma,ISI
C88.4,Extranodal marginal zone B-cell lymphoma of mucosa- associated lymphoid tissue [MALT-lyphoma],EMZ
C88.7,Other malignant immunoproliferative diseases,MID
C88.9,"Malignant immunoproliferative disease, unspecified Immunoproliferative disease NOS",MID NOS
C90,Multiple myeloma and malignant plasma cell neoplasms,MMM
C90.0,Multiple myeloma Kahler disease Medullary plasmacytoma Myelomatosis Plasma cell myeloma,MMK
C90.1,Plasma cell leukaemia Plasmacytic leukaemia,PCL
C90.2,Extramedullary plasmacytoma,EP
C90.3,Solitary plasmacytoma Localized malignant plasma cell tumour NOS Plasmacytoma NOS Solitary myeloma,SPL NOS
C91,Lymphoid leukaemia,LL
C91.0,Acute lymphoblastic leukaemia [ALL],ALL
C91.1,Chronic lymphocytic leukaemia of B-cell type Lymphoplasmacytic leukaemia Richter syndrome,CLL
C91.3,Prolymphocytic leukaemia of B-cell type,PLB
C91.4,Hairy-cell leukaemia Leukaemic reticuloendotheliosis,HLL
C91.5,Adult T-cell lymphoma/leukaemia [HTLV-1-associated] Acute Chronic variant of adult T-cell lymphoma/ Lymphomatoid leukaemia Smouldering,ATL
C91.6,Prolymphocytic leukaemia of T-cell type,PLT
C91.7,Other lymphoid leukaemia T-cell large granular lymphocytic leukaemia (associated with rheumatoid arthritis),LLT
C91.8,Mature B-cell leukaemia Burkitt-type,MBL
C91.9,"Lymphoid leukaemia, unspecified",LL NOS
C91–C95,• leukaemia • radiation: – gastroenteritis and colitis (K52.0) – pneumonitis (J70.0) – related disorders of the skin and subcutaneous tissue (L55–L59) • sunburn (L55.-),•L•
C92,Myeloid leukaemia,ML
C92.0,"Acute myeloblastic leukaemia [AML] Acute myeloblastic leukaemia, minimal differentiation Acute myeloblastic leukaemia (with maturation) AML1/ETO AML M0 AML M1 AML M2 AML with t(8;21) AML (without a FAB classification) NOS Refractory anaemia with excess blasts in transformation",AML NOS
C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive Chronic myelogenous leukaemia: • Philadelphia chromosome (Ph1) positive • t(9:22)(q34;q11) • with crisis of blast cells",CML
C92.2,"Atypical chronic myeloid leukaemia, BCR/ABL-negative",ACM
C92.3,Myeloid sarcoma,MS
C92.4,Acute promyelocytic leukaemia [PML] AML M3 AML Me with t(15;17) and variants,APL
C92.5,Acute myelomonocytic leukaemia AML M4 AML M4 Eo with inv(16) or t(16;16),AML
C92.6,Acute myeloid leukaemia with 11q23-abnormality Acute myeloid leukaemia with variation of MLL-gene,AML
C92.7,Other myeloid leukaemia,ML
C92.8,Acute myeloid leukaemia with multilineage dysplasia,AML
C92.9,"Myeloid leukaemia, unspecified",ML NOS
C93,Monocytic leukaemia,ML
C93.0,Acute monoblastic/monocytic leukaemia AML M5a AML M5b AML M5,AML
C93.1,Chronic myelomonocytic leukaemia Chronic monocytic leukaemia CMML-1 CMML-2 CMML with eosinophilia,CML
C93.3,Juvenile myelomonocytic leukaemia,JML
C93.7,Other monocytic leukaemia,ML
C93.9,"Monocytic leukaemia, unspecified",ML NOS
C94,Other leukaemias of specified cell type,LCT
C94.0,Acute erythroid leukaemia Acute myeloid leukaemia M6 (a)(b) Erythroleukaemia,AEL
C94.2,"Acute megakaryoblastic leukaemia Acute myeloid leukaemia, M7 Acute megakaryocytic leukaemia",AML
C94.3,Mast cell leukaemia,MCL
C94.4,Acute panmyelosis with myelofibrosis Acute myelofibrosis,APM
C94.6,"Myelodysplastic and myeloproliferative disease, not elsewhere classified",MMD
C94.7,Other specified leukaemias Aggressive NK-cell leukaemia Acute basophilic leukaemia,LAN
C95,Leukaemia of unspecified cell type,LCT NOS
C95.0,Acute leukaemia of unspecified cell type Acute bilineal leukaemia Acute mixed lineage leukaemia Biphenotypic acute leukaemia Stem cell leukaemia of unclear lineage,ALC NOS
C95.1,Chronic leukaemia of unspecified cell type,CLC NOS
C95.7,Other leukaemia of unspecified cell type,LCT NOS
C95.9,"Leukaemia, unspecified",LEUK NOS
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",MNL NOS
C96.0,"Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer–Siwe disease] Histiocytosis X, multisystemic",MML
C96.2,Malignant mast cell tumour Aggressive systemic mastocytosis Mast cell sarcoma,MMC
C96.4,Sarcoma of dendritic cells (accessory cells) Interdigiting dendritic cell sarcoma Langerhans-cell sarcoma Sarcoma of follicular dendritic cells,SDC
C96.5,"Multifocal and unisystemic Langerhans-cell histiocytosis Hand–Schüller–Christian disease Histiocytosis X, multifocal",MUL
C96.6,"Unifocal Langerhans-cell histiocytosis Eosinophilic granuloma Histiocytosis X, unifocal Histiocytosis X NOS Langerhans-cell histiocytosis NOS",ULH NOS
C96.7,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue",MNL
C96.8,Histiocytic sarcoma Malignant histiocytosis,HSM
C96.9,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified Malignant neoplasms of independent (primary) multiple sites (C97)",MNL NOS
C97,Malignant neoplasms of independent (primary) multiple sites,MNI
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",CIS
D00.0,"Lip, oral cavity and pharynx Aryepiglottic fold: • NOS • hypopharyngeal aspect • marginal zone Vermilion border of lip",LOC NOS
D00.1,Oesophagus,OESO
D00.2,Stomach,STOM
D00–D09,In situ neoplasms,ISN
D01,Carcinoma in situ of other and unspecified digestive organs,CIS NOS
D01.0,Colon,COLO
D01.1,Rectosigmoid junction,RJ
D01.2,Rectum,RECT
D01.3,Anus and anal canal,AAC
D01.4,Other and unspecified parts of intestine,PI NOS
D01.5,"Liver, gallbladder and bile ducts Ampulla of Vater",LGB
D01.7,Other specified digestive organs Pancreas,DOP
D01.9,"Digestive organ, unspecified",DO NOS
D02,Carcinoma in situ of middle ear and respiratory system,CIS
D02.0,"Larynx Aryepiglottic fold, laryngeal aspect Epiglottis (suprahyoid portion)",LAF
D02.1,Trachea,TRAC
D02.2,Bronchus and lung,BL
D02.3,Other parts of respiratory system Accessory sinuses Middle ear Nasal cavities,PRS
D02.4,"Respiratory system, unspecified",RS NOS
D03,Melanoma in situ,MIS
D03.0,Melanoma in situ of lip,MIS
D03.1,"Melanoma in situ of eyelid, including canthus",MIS
D03.2,Melanoma in situ of ear and external auricular canal,MIS
D03.3,Melanoma in situ of other and unspecified parts of face,MIS NOS
D03.4,Melanoma in situ of scalp and neck,MIS
D03.5,Melanoma in situ of trunk Anal: • margin • skin Breast (skin)(soft tissue) Perianal skin,MIS
D03.6,"Melanoma in situ of upper limb, including shoulder",MIS
D03.7,"Melanoma in situ of lower limb, including hip",MIS
D03.8,Melanoma in situ of other sites,MIS
D03.9,"Melanoma in situ, unspecified",MIS NOS
D04,Carcinoma in situ of skin,CIS
D04.0,Skin of lip,SL
D04.1,"Skin of eyelid, including canthus",SEI
D04.2,Skin of ear and external auricular canal,SEE
D04.3,Skin of other and unspecified parts of face,SPF NOS
D04.4,Skin of scalp and neck,SSN
D04.5,Skin of trunk Anal: • margin • skin Perianal skin Skin of breast,STA
D04.6,"Skin of upper limb, including shoulder",SUL
D04.7,"Skin of lower limb, including hip",SLL
D04.8,Skin of other sites,SS
D04.9,"Skin, unspecified",SKIN NOS
D05,Carcinoma in situ of breast,CIS
D05.0,Lobular carcinoma in situ,LCI
D05.1,Intraductal carcinoma in situ,ICI
D05.7,Other carcinoma in situ of breast,CIS
D05.9,"Carcinoma in situ of breast, unspecified",CIS NOS
D06,Carcinoma in situ of cervix uteri,CIS
D06.0,Endocervix,ENDO
D06.1,Exocervix,EXOC
D06.7,Other parts of cervix,PC
D06.9,"Cervix, unspecified",CERV NOS
D07,Carcinoma in situ of other and unspecified genital organs,CIS NOS
D07.0,Endometrium,ENDO
D07.1,"Vulva Vulvar intraepithelial neoplasia [VIN], grade III, with or without mention of severe dysplasia",VVI
D07.2,"Vagina Vaginal intraepithelial neoplasia [VAIN], grade III, with or without mention of severe dysplasia",VVI
D07.3,Other and unspecified female genital organs,FGO NOS
D07.4,Penis Erythroplasia of Queyrat NOS,PEQ NOS
D07.5,Prostate,PROS
D07.6,Other and unspecified male genital organs,MGO NOS
D09,Carcinoma in situ of other and unspecified sites,CIS NOS
D09.0,Bladder,BLAD
D09.1,Other and unspecified urinary organs,UO NOS
D09.2,Eye,EYE
D09.3,Thyroid and other endocrine glands,TEG
D09.7,Carcinoma in situ of other specified sites,CIS
D09.9,"Carcinoma in situ, unspecified",CIS NOS
D10,Benign neoplasm of mouth and pharynx,BNM
D10.0,Lip Lip (frenulum)(inner aspect)(mucosa)(vermilion border),LL
D10.1,Tongue Lingual tonsil,TLT
D10.2,Floor of mouth,FM
D10.3,Other and unspecified parts of mouth Minor salivary gland NOS,PMM NOS
D10.4,Tonsil Tonsil (faucial)(palatine),TT
D10.5,"Other parts of oropharynx Epiglottis, anterior aspect Tonsillar: • fossa • pillars Vallecula",POE
D10.6,Nasopharynx Pharyngeal tonsil Posterior margin of septum and choanae,NPT
D10.7,Hypopharynx,HYPO
D10.9,"Pharynx, unspecified",PHAR NOS
D10–D36,Benign neoplasms,BN
D11,Benign neoplasm of major salivary glands,BNM
D11.0,Parotid gland,PG
D11.7,Other major salivary glands Gland: • sublingual • submandibular,MSG
D11.9,"Major salivary gland, unspecified",MSG NOS
D12,"Benign neoplasm of colon, rectum, anus and anal canal",BNC
D12.0,Caecum Ileocaecal valve,CIV
D12.1,Appendix,APPE
D12.2,Ascending colon,AC
D12.3,Transverse colon Hepatic flexure Splenic flexure,TCH
D12.4,Descending colon,DC
D12.5,Sigmoid colon,SC
D12.6,"Colon, unspecified Adenomatosis of colon Large intestine NOS Polyposis (hereditary) of colon",CAC NOS
D12.7,Rectosigmoid junction,RJ
D12.8,Rectum,RECT
D12.9,Anus and anal canal,AAC
D13,Benign neoplasm of other and ill-defined parts of digestive system,BNI
D13.0,Oesophagus,OESO
D13.1,Stomach,STOM
D13.2,Duodenum,DUOD
D13.3,Other and unspecified parts of small intestine,PSI NOS
D13.4,Liver Intrahepatic bile ducts,LIB
D13.5,Extrahepatic bile ducts,EBD
D13.6,Pancreas,PANC
D13.7,Endocrine pancreas Islet cell tumour Islets of Langerhans,EPI
D13.9,Ill-defined sites within the digestive system Digestive system NOS Intestine NOS Spleen,ISW NOS
D14,Benign neoplasm of middle ear and respiratory system,BNM
D14.0,"Middle ear, nasal cavity and accessory sinuses Cartilage of nose",MEN NOS
D14.1,Larynx Epiglottis (suprahyoid portion),LE
D14.2,Trachea,TRAC
D14.3,Bronchus and lung,BL
D14.4,"Respiratory system, unspecified",RS NOS
D15,Benign neoplasm of other and unspecified intrathoracic organs,BNI NOS
D15.0,Thymus,THYM
D15.1,Heart,HEAR
D15.2,Mediastinum,MEDI
D15.7,Other specified intrathoracic organs,IO
D15.9,"Intrathoracic organ, unspecified",IO NOS
D16,Benign neoplasm of bone and articular cartilage,BNB
D16.0,Scapula and long bones of upper limb,SLB
D16.1,Short bones of upper limb,SBU
D16.2,Long bones of lower limb,LBL
D16.3,Short bones of lower limb,SBL
D16.4,Bones of skull and face Maxilla (superior) Orbital bone,BSF
D16.5,Lower jaw bone,LJB
D16.6,Vertebral column,VC
D16.7,"Ribs, sternum and clavicle",RSC
D16.8,"Pelvic bones, sacrum and coccyx",PBS
D16.9,"Bone and articular cartilage, unspecified",BAC NOS
D17,Benign lipomatous neoplasm,BLN
D17.0,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",BLN
D17.1,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,BLN
D17.2,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,BLN
D17.3,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites,BLN NOS
D17.4,Benign lipomatous neoplasm of intrathoracic organs,BLN
D17.5,Benign lipomatous neoplasm of intra-abdominal organs,BLN
D17.6,Benign lipomatous neoplasm of spermatic cord,BLN
D17.7,Benign lipomatous neoplasm of other sites Peritoneum Retroperitoneum,BLN
D17.9,"Benign lipomatous neoplasm, unspecified Lipoma NOS",BLN NOS
D18,"Haemangioma and lymphangioma, any site",HLA
D18.0,"Haemangioma, any site Angioma NOS",HAS NOS
D18.1,"Lymphangioma, any site",LAS
D19,Benign neoplasm of mesothelial tissue,BNM
D19.0,Mesothelial tissue of pleura,MTP
D19.1,Mesothelial tissue of peritoneum,MTP
D19.7,Mesothelial tissue of other sites,MTS
D19.9,"Mesothelial tissue, unspecified Benign mesothelioma NOS",MTB NOS
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,BNS
D20.0,Retroperitoneum,RETR
D20.1,Peritoneum,PERI
D21,Other benign neoplasms of connective and other soft tissue,BNC
D21.0,"Connective and other soft tissue of head, face and neck Connective tissue of: • ear • eyelid",CST
D21.1,"Connective and other soft tissue of upper limb, including shoulder",CST
D21.2,"Connective and other soft tissue of lower limb, including hip",CST
D21.3,Connective and other soft tissue of thorax Axilla Diaphragm Great vessels,CST
D21.4,Connective and other soft tissue of abdomen,CST
D21.5,Connective and other soft tissue of pelvis,CST
D21.6,"Connective and other soft tissue of trunk, unspecified Back NOS",CST NOS
D21.9,"Connective and other soft tissue, unspecified",CST NOS
D22,Melanocytic naevi naevus: • NOS • blue • hairy • pigmented,MNN NOS
D22.0,Melanocytic naevi of lip,MNL
D22.1,"Melanocytic naevi of eyelid, including canthus",MNE
D22.2,Melanocytic naevi of ear and external auricular canal,MNE
D22.3,Melanocytic naevi of other and unspecified parts of face,MNP NOS
D22.4,Melanocytic naevi of scalp and neck,MNS
D22.5,Melanocytic naevi of trunk Anal: • margin • skin Perianal skin Skin of breast,MNT
D22.6,"Melanocytic naevi of upper limb, including shoulder",MNU
D22.7,"Melanocytic naevi of lower limb, including hip",MNL
D22.9,"Melanocytic naevi, unspecified",MN NOS
D23,Other benign neoplasms of skin,BNS
D23.0,Skin of lip,SL
D23.1,"Skin of eyelid, including canthus",SEI
D23.2,Skin of ear and external auricular canal,SEE
D23.3,Skin of other and unspecified parts of face,SPF NOS
D23.4,Skin of scalp and neck,SSN
D23.5,Skin of trunk Anal: • margin • skin Perianal skin Skin of breast,STA
D23.6,"Skin of upper limb, including shoulder",SUL
D23.7,"Skin of lower limb, including hip",SLL
D23.9,"Skin, unspecified",SKIN NOS
D24,Benign neoplasm of breast,BNB
D25,Leiomyoma of uterus fibromyoma of uterus,LUF
D25.0,Submucous leiomyoma of uterus,SLU
D25.1,Intramural leiomyoma of uterus,ILU
D25.2,Subserosal leiomyoma of uterus,SLU
D25.9,"Leiomyoma of uterus, unspecified",LU NOS
D26,Other benign neoplasms of uterus,BNU
D26.0,Cervix uteri,CU
D26.1,Corpus uteri,CU
D26.7,Other parts of uterus,PU
D26.9,"Uterus, unspecified",UTER NOS
D27,Benign neoplasm of ovary,BNO
D28,Benign neoplasm of other and unspecified female genital organs,BNF NOS
D28.0,Vulva,VULV
D28.1,Vagina,VAGI
D28.2,Uterine tubes and ligaments Fallopian tube Uterine ligament (broad)(round),UTL
D28.7,Other specified female genital organs,FGO
D28.9,"Female genital organ, unspecified",FGO NOS
D28–D29,skin of genital organs,SGO
D29,Benign neoplasm of male genital organs,BNM
D29.0,Penis,PENI
D29.1,Prostate,PROS
D29.2,Testis,TEST
D29.3,Epididymis,EPID
D29.4,Scrotum Skin of scrotum,SSS
D29.7,Other male genital organs Seminal vesicle Spermatic cord Tunica vaginalis,MGO
D29.9,"Male genital organ, unspecified",MGO NOS
D30,Benign neoplasm of urinary organs,BNU
D30.0,Kidney,KIDN
D30.1,Renal pelvis,RP
D30.2,Ureter,URET
D30.3,Bladder Orifice of bladder: • urethral • ureteric,BOB
D30.4,Urethra,URET
D30.7,Other urinary organs Paraurethral glands,UOP
D30.9,"Urinary organ, unspecified Urinary system NOS",UOU NOS
D31,Benign neoplasm of eye and adnexa,BNE
D31.0,Conjunctiva,CONJ
D31.1,Cornea,CORN
D31.2,Retina,RETI
D31.3,Choroid,CHOR
D31.4,Ciliary body,CB
D31.5,Lacrimal gland and duct Lacrimal sac Nasolacrimal duct,LGD
D31.6,"Orbit, unspecified Connective tissue of orbit Extraocular muscle Peripheral nerves of orbit Retrobulbar tissue Retro-ocular tissue",OCT NOS
D31.9,"Eye, unspecified Eyeball",EE NOS
D32,Benign neoplasm of meninges,BNM
D32.0,Cerebral meninges,CM
D32.1,Spinal meninges,SM
D32.9,"Meninges, unspecified Meningioma NOS",MMN NOS
D33,Benign neoplasm of brain and other parts of central nervous system,BNB
D33.0,"Brain, supratentorial Cerebral ventricle Cerebrum Frontal Occipital lobe Parietal Temporal",BSC
D33.1,"Brain, infratentorial Brain stem Cerebellum Fourth ventricle",BIB
D33.2,"Brain, unspecified",BRAI NOS
D33.3,Cranial nerves Olfactory bulb,CNO
D33.4,Spinal cord,SC
D33.7,Other specified parts of central nervous system,PCN
D33.9,"Central nervous system, unspecified Nervous system (central) NOS",CNS NOS
D34,Benign neoplasm of thyroid gland,BNT
D35,Benign neoplasm of other and unspecified endocrine glands,BNE NOS
D35.0,Adrenal gland,AG
D35.1,Parathyroid gland,PG
D35.2,Pituitary gland,PG
D35.3,Craniopharyngeal duct,CD
D35.4,Pineal gland,PG
D35.5,Carotid body,CB
D35.6,Aortic body and other paraganglia,ABP
D35.7,Other specified endocrine glands,EG
D35.8,Pluriglandular involvement,PI
D35.9,"Endocrine gland, unspecified",EG NOS
D36,Benign neoplasm of other and unspecified sites,BNS NOS
D36.0,Lymph nodes,LN
D36.1,Peripheral nerves and autonomic nervous system,PNA
D36.7,Other specified sites Nose NOS,SNN NOS
D36.9,Benign neoplasm of unspecified site Neoplasms of uncertain or unknown behaviour (D37–D48),BNS NOS
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,NUO
D37.0,"Lip, oral cavity and pharynx Aryepiglottic fold: • NOS • hypopharyngeal aspect • marginal zone Major and minor salivary glands Vermilion border of lip",LOC NOS
D37.1,Stomach,STOM
D37.2,Small intestine,SI
D37.3,Appendix,APPE
D37.4,Colon,COLO
D37.5,Rectum Rectosigmoid junction,RRJ
D37.6,"Liver, gallbladder and bile ducts Ampulla of Vater",LGB
D37.7,Other digestive organs Anal: • canal • sphincter Anus NOS Intestine NOS Oesophagus Pancreas,DOA NOS
D37.9,"Digestive organ, unspecified",DO NOS
D37–D48,"Neoplasms of uncertain or unknown behaviour Notes 1. Primary, ill-defined, secondary and unspecified sites of malignant neoplasms Categories C76−C80 include malignant neoplasms for which there is no clear indication of the original site of the cancer, or the cancer is stated to be ‘disseminated’, ‘scattered’ or ‘spread’ without mention of the primary site. In both cases the primary site is considered to be unknown. 2. Functional activity All neoplasms are classified in this chapter, whether they are functionally active or not. An additional code from Chapter IV may be used, if desired, to identify functional activity associated with any neoplasm. For example, catecholamine-producing malignant phaeochromocytoma of adrenal gland should be coded to C74 with additional code E27.5; basophil adenoma of pituitary gland with Cushing syndrome should be coded to",NUO NOS
D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,NUO
D38.0,"Larynx Aryepiglottic fold, laryngeal aspect Epiglottis (suprahyoid portion)",LAF
D38.1,"Trachea, bronchus and lung",TBL
D38.2,Pleura,PLEU
D38.3,Mediastinum,MEDI
D38.4,Thymus,THYM
D38.5,Other respiratory organs Accessory sinuses Cartilage of nose Middle ear Nasal cavities,ROA NOS
D38.6,"Respiratory organ, unspecified",RO NOS
D39,Neoplasm of uncertain or unknown behaviour of female genital organs,NUO
D39.0,Uterus,UTER
D39.1,Ovary,OVAR
D39.2,Placenta Chorioadenoma destruens Hydatidiform mole: • invasive • malignant,PCD
D39.7,Other female genital organs Skin of female genital organs,FGO
D39.9,"Female genital organ, unspecified",FGO NOS
D40,Neoplasm of uncertain or unknown behaviour of male genital organs,NUO
D40.0,Prostate,PROS
D40.1,Testis,TEST
D40.7,Other male genital organs Skin of male genital organs,MGO
D40.9,"Male genital organ, unspecified",MGO NOS
D41,Neoplasm of uncertain or unknown behaviour of urinary organs,NUO
D41.0,Kidney,KIDN
D41.1,Renal pelvis,RP
D41.2,Ureter,URET
D41.3,Urethra,URET
D41.4,Bladder,BLAD
D41.7,Other urinary organs,UO
D41.9,"Urinary organ, unspecified",UO NOS
D42,Neoplasm of uncertain or unknown behaviour of meninges,NUO
D42.0,Cerebral meninges,CM
D42.1,Spinal meninges,SM
D42.9,"Meninges, unspecified",MENI NOS
D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,NUO
D43.0,"Brain, supratentorial Cerebral ventricle Cerebrum Frontal Occipital lobe Parietal Temporal",BSC
D43.1,"Brain, infratentorial Brain stem Cerebellum Fourth ventricle",BIB
D43.2,"Brain, unspecified",BRAI NOS
D43.3,Cranial nerves,CN
D43.4,Spinal cord,SC
D43.7,Other parts of central nervous system,PCN
D43.9,"Central nervous system, unspecified Nervous system (central) NOS",CNS NOS
D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,NUO
D44.0,Thyroid gland,TG
D44.1,Adrenal gland,AG
D44.2,Parathyroid gland,PG
D44.3,Pituitary gland,PG
D44.4,Craniopharyngeal duct,CD
D44.5,Pineal gland,PG
D44.6,Carotid body,CB
D44.7,Aortic body and other paraganglia,ABP
D44.8,Pluriglandular involvement Multiple endocrine adenomatosis,PIM
D44.9,"Endocrine gland, unspecified",EG NOS
D45,Polycythaemia vera,PV
D46,Myelodysplastic syndromes,MS
D46.0,"Refractory anaemia without ringed sideroblasts, so stated",RAW
D46.1,Refractory anaemia with ringed sideroblasts,RAR
D46.2,Refractory anaemia with excess of blasts [RAEB],RAE
D46.4,"Refractory anaemia, unspecified",RA NOS
D46.5,Refractory anaemia with multi-lineage dysplasia,RAM
D46.6,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality 5q-minus syndrome,MSI
D46.7,Other myelodysplastic syndromes,MS
D46.9,"Myelodysplastic syndrome, unspecified Myelodysplasia NOS Preleukaemia (syndrome) NOS",MSM NOS
D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",NUO
D47.0,"Histiocytic and mast cell tumours of uncertain and unknown behaviour Indolent systematic mastocytosis Mast cell tumour NOS Mastocytoma NOS Systemic mastocytosis, associated with clonal haematopoietic non-mast- cell disease (SM-AHNMD)",HMC NOS
D47.1,"Chronic myeloproliferative disease Chronic neutrophilic leukaemia Myeloproliferative disease, unspecified",CMD NOS
D47.2,Monoclonal gammopathy of undetermined significance (MGUS),MGU
D47.3,Essential (haemorrhagic) thrombocythaemia Idiopathic haemorrhagic thrombocythaemia,ETI
D47.4,Osteomyelofibrosis Chronic idiopathic myelofibrosis Myelofibrosis (idiopathic) (with myeloid metaplasia) Myelosclerosis (megakaryocytic) with myeloid metaplasia Secondary myelofibrosis in myeloproliferative disease,OCI
D47.5,Chronic eosinophilic leukaemia [hypereosinophilic syndrome],CEL
D47.7,"Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue Histiocytic tumours of uncertain and unknown behaviour",NUO
D47.9,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified Lymphoproliferative disease NOS",NUO NOS
D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,NUO NOS
D48.0,Bone and articular cartilage,BAC
D48.1,Connective and other soft tissue Connective tissue of: • ear • eyelid,CST
D48.2,Peripheral nerves and autonomic nervous system,PNA
D48.3,Retroperitoneum,RETR
D48.4,Peritoneum,PERI
D48.5,Skin Anal: • margin • skin Perianal skin Skin of breast,SA•
D48.6,Breast Connective tissue of breast Cystosarcoma phyllodes,BCT
D48.7,Other specified sites Eye Heart Peripheral nerves of orbit,SEH
D48.9,"Neoplasm of uncertain or unknown behaviour, unspecified ‘Growth’ NOS Neoplasm NOS New growth NOS Tumour NOS",NUO NOS
D50,Iron deficiency anaemia,IDA
D50.0,Iron deficiency anaemia secondary to blood loss (chronic) Posthaemorrhagic anaemia (chronic),IDA
D50.1,Sideropenic dysphagia Kelly–Paterson syndrome Plummer–Vinson syndrome,SDK
D50.8,Other iron deficiency anaemias,IDA
D50.9,"Iron deficiency anaemia, unspecified",IDA NOS
D50–D53,nutritional anaemias sequelae of protein-energy malnutrition (E64.0) slim disease (B22.2) starvation (T73.0),NAS
D50–D76,• blood disorders • dermatitis:,•BD
D51,Vitamin B deficiency anaemia,VBD
D51.0,Vitamin B deficiency anaemia due to intrinsic factor,VBD
D51.1,Vitamin B deficiency anaemia due to selective vitamin B 12 12 malabsorption with proteinuria Imerslund(–Gräsbeck) syndrome Megaloblastic hereditary anaemia,VBD
D51.2,Transcobalamin II deficiency,TID
D51.3,Other dietary vitamin B deficiency anaemia,DVB
D51.8,Other vitamin B deficiency anaemias,VBD
D51.9,"Vitamin B deficiency anaemia, unspecified",VBD NOS
D52,Folate deficiency anaemia,FDA
D52.0,Dietary folate deficiency anaemia Nutritional megaloblastic anaemia,DFD
D52.1,Drug-induced folate deficiency anaemia,DFD
D52.8,Other folate deficiency anaemias,FDA
D52.9,"Folate deficiency anaemia, unspecified Folic acid deficiency anaemia NOS",FDA NOS
D53,Other nutritional anaemias,NA
D53.0,Protein deficiency anaemia Amino-acid deficiency anaemia Orotaciduric anaemia,PDA
D53.1,"Other megaloblastic anaemias, not elsewhere classified Megaloblastic anaemia NOS",MAN NOS
D53.2,Scorbutic anaemia,SA
D53.8,Other specified nutritional anaemias Anaemia associated with deficiency of: • copper • molybdenum • zinc,NAA
D53.9,"Nutritional anaemia, unspecified Simple chronic anaemia",NAS NOS
D55,Anaemia due to enzyme disorders,AED
D55.0,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency Favism G6PD deficiency anaemia,AGD
